feature1,feature2,target
0.24,0.28,1.00
0.17,0.72,0.00
0.40,0.90,0.00
0.50,-0.41,1.00
0.72,-0.43,1.00
-0.92,0.26,0.00
0.08,0.03,1.00
0.73,0.22,0.00
1.04,0.29,0.00
-1.41,0.46,0.00
0.10,0.91,0.00
0.51,0.95,0.00
0.51,-0.36,1.00
0.22,-0.24,1.00
0.88,0.58,0.00
-0.01,0.36,1.00
0.19,0.52,0.00
0.12,0.81,0.00
0.04,0.36,1.00
0.04,1.24,0.00
-0.65,0.53,0.00
-0.72,0.66,0.00
0.31,0.72,0.00
1.32,-0.53,1.00
0.00,0.53,1.00
0.92,0.14,0.00
1.50,-0.34,1.00
0.63,-0.36,1.00
0.17,0.89,0.00
-0.25,1.06,0.00
0.09,-0.01,1.00
-0.42,0.69,0.00
1.10,0.34,0.00
-0.71,0.46,0.00
-0.74,0.20,0.00
1.00,0.23,0.00
-0.11,1.01,0.00
0.51,0.97,0.00
0.03,0.12,1.00
0.95,-0.55,1.00
0.22,-0.23,1.00
0.88,0.46,0.00
0.23,-0.25,1.00
-1.15,0.33,0.00
1.53,-0.34,1.00
0.83,0.31,0.00
1.71,-0.01,1.00
-0.46,0.78,0.00
0.08,1.00,0.00
1.11,-0.51,1.00
-0.78,0.84,0.00
1.09,-0.48,1.00
0.20,-0.25,1.00
1.38,-0.60,1.00
2.04,-0.25,1.00
0.75,0.72,0.00
-0.07,0.99,0.00
-0.04,0.83,0.00
1.34,-0.70,1.00
1.24,-0.39,1.00
0.31,-0.37,1.00
1.31,-0.65,1.00
0.69,-0.66,1.00
0.82,0.14,0.00
0.47,0.91,0.00
-1.06,0.22,0.00
1.06,0.22,0.00
-0.90,0.31,0.00
0.10,0.98,0.00
0.06,-0.11,1.00
0.23,1.07,0.00
0.91,-0.37,1.00
1.01,0.06,0.00
0.92,-0.69,1.00
-0.50,0.67,0.00
-1.02,0.24,0.00
0.72,-0.33,1.00
0.74,0.74,0.00
-0.81,0.40,0.00
1.41,-0.28,1.00
1.30,-0.26,1.00
0.15,0.31,1.00
1.04,0.29,0.00
-0.76,0.80,0.00
0.23,-0.61,1.00
2.03,0.36,1.00
1.01,-0.45,1.00
-0.10,1.09,0.00
1.69,0.00,1.00
0.67,0.60,0.00
-0.91,0.02,0.00
0.59,-0.21,0.00
1.76,0.36,1.00
1.94,0.42,1.00
-0.50,0.77,0.00
-0.01,1.00,0.00
2.08,0.32,1.00
1.64,-0.15,1.00
1.48,-0.32,1.00
-0.49,0.99,0.00
0.24,0.85,0.00
-1.29,0.15,0.00
0.85,0.71,0.00
0.93,0.92,0.00
1.35,-0.70,1.00
1.42,-0.35,1.00
-0.71,0.25,0.00
0.45,0.91,0.00
-0.05,0.32,1.00
1.88,0.17,1.00
1.42,-0.32,1.00
1.32,-0.38,1.00
1.81,-0.13,1.00
0.72,-0.57,1.00
0.88,0.31,0.00
-0.94,0.40,0.00
1.61,-0.18,1.00
0.46,0.50,0.00
0.56,-0.38,1.00
-0.86,0.21,0.00
-0.68,1.15,0.00
0.73,0.90,0.00
-0.14,0.10,1.00
0.73,0.90,0.00
1.52,-0.15,1.00
0.55,-0.36,1.00
0.84,0.49,0.00
0.78,0.04,0.00
-0.20,1.10,0.00
0.46,-0.20,1.00
-0.94,0.53,0.00
-0.73,0.92,0.00
1.87,0.07,1.00
1.82,0.22,1.00
0.91,0.19,0.00
2.02,-0.19,1.00
-0.03,0.28,1.00
-0.62,0.93,0.00
0.16,0.67,1.00
-1.18,0.22,0.00
0.29,0.16,1.00
0.30,0.89,0.00
2.12,0.03,1.00
-0.66,0.59,0.00
0.44,-0.64,1.00
1.49,-0.28,1.00
0.12,0.11,1.00
-1.07,0.23,0.00
-0.79,0.32,0.00
-0.93,0.34,0.00
0.49,-0.01,1.00
0.38,-0.30,1.00
0.34,0.77,0.00
1.96,-0.18,1.00
1.37,-0.36,1.00
2.10,0.18,1.00
0.58,-0.48,1.00
-0.05,1.19,0.00
1.82,-0.36,1.00
-0.87,0.69,0.00
2.17,0.41,1.00
0.76,0.42,0.00
0.71,-0.34,1.00
-0.02,-0.19,1.00
1.06,-0.03,0.00
0.11,-0.14,1.00
1.90,-0.24,1.00
0.69,0.00,0.00
-0.89,0.67,0.00
1.02,0.28,0.00
0.69,0.54,0.00
0.98,0.70,0.00
2.13,0.44,1.00
2.17,-0.08,1.00
-0.54,0.17,0.00
1.96,0.37,1.00
-0.93,0.15,0.00
0.71,0.67,0.00
1.68,-0.42,1.00
-0.63,0.72,0.00
0.03,0.44,1.00
0.80,-0.29,1.00
2.00,-0.04,1.00
0.89,0.58,0.00
-0.76,-0.02,0.00
0.17,0.40,1.00
0.77,0.61,0.00
0.92,-0.63,1.00
1.92,-0.10,1.00
0.17,0.82,0.00
2.01,0.26,1.00
-0.20,0.81,0.00
-0.09,1.08,0.00
1.49,-0.65,1.00
1.39,0.20,0.00
-0.44,1.11,0.00
0.11,0.47,1.00
0.21,0.16,1.00
0.89,0.57,0.00
1.00,0.24,0.00
-0.70,0.92,0.00
1.16,-0.29,1.00
1.73,0.62,1.00
0.14,0.13,1.00
0.42,-0.27,1.00
-0.01,-0.05,1.00
-0.75,0.63,0.00
0.12,0.61,0.00
-0.08,-0.03,1.00
-0.29,1.19,0.00
-0.93,0.03,0.00
0.41,-0.16,1.00
0.43,-0.46,1.00
-0.10,0.86,0.00
1.37,-0.17,1.00
-0.66,0.62,0.00
1.40,-0.28,1.00
0.07,-0.14,1.00
0.17,1.25,0.00
0.24,-0.10,1.00
1.12,-0.43,1.00
-0.70,0.98,0.00
1.67,-0.45,1.00
0.86,-0.64,1.00
2.10,0.18,1.00
-0.11,-0.24,1.00
0.34,-0.15,1.00
0.44,1.18,0.00
0.97,0.03,0.00
0.37,1.07,0.00
0.45,0.82,0.00
0.30,0.97,0.00
-0.92,0.41,0.00
0.24,0.48,1.00
0.98,0.34,0.00
0.80,0.81,0.00
0.47,-0.13,1.00
-0.51,1.15,0.00
1.43,0.15,1.00
1.74,0.11,1.00
-0.07,0.20,1.00
-0.26,1.19,0.00
1.42,-0.53,1.00
0.89,-0.45,1.00
1.09,-0.44,1.00
0.15,0.34,1.00
0.87,0.88,0.00
0.94,-0.65,1.00
0.98,-0.23,0.00
0.80,0.66,0.00
1.37,-0.58,1.00
-0.25,0.87,0.00
0.12,0.07,1.00
-0.21,0.35,1.00
0.04,-0.27,1.00
0.81,-0.33,1.00
2.14,-0.13,1.00
0.31,-0.18,1.00
-0.97,0.41,0.00
-0.81,0.66,0.00
0.00,1.01,0.00
1.12,0.27,0.00
1.75,-0.31,1.00
0.53,-0.49,1.00
1.30,-0.25,1.00
0.45,1.24,0.00
0.03,-0.03,1.00
0.38,0.72,0.00
1.94,0.44,1.00
1.91,0.15,1.00
-0.97,0.47,0.00
-0.18,0.43,1.00
2.19,0.39,1.00
1.94,0.19,1.00
1.84,0.18,1.00
-0.84,0.53,0.00
0.74,-0.09,1.00
0.79,-0.67,1.00
0.75,0.75,0.00
0.27,-0.19,1.00
0.46,-0.25,1.00
0.07,1.22,0.00
0.57,0.64,0.00
-0.78,0.47,0.00
0.71,-0.60,1.00
1.79,0.47,1.00
0.93,-0.54,1.00
0.02,1.21,0.00
-1.03,0.17,0.00
0.32,-0.15,1.00
0.32,0.91,0.00
-0.88,0.38,0.00
-0.20,1.04,0.00
0.94,-0.45,1.00
0.82,0.53,0.00
-0.74,0.45,0.00
1.18,-0.32,1.00
-0.68,0.33,0.00
0.31,-0.35,1.00
0.58,0.83,0.00
0.42,-0.38,1.00
-0.86,0.62,0.00
0.43,-0.35,1.00
2.01,0.30,1.00
0.58,0.44,0.00
1.96,0.16,1.00
-1.36,0.22,0.00
0.02,0.32,1.00
1.94,-0.13,1.00
-0.69,0.12,0.00
-0.06,0.77,0.00
-0.62,0.93,0.00
0.42,-0.58,1.00
1.14,-0.47,1.00
0.64,-0.58,1.00
0.65,0.26,0.00
1.96,0.38,1.00
1.21,-0.52,1.00
-0.57,0.69,0.00
0.74,0.78,0.00
0.85,-0.51,1.00
-0.37,0.93,0.00
-0.83,0.95,0.00
0.93,0.61,0.00
2.11,0.01,1.00
0.01,0.77,0.00
-0.05,0.03,1.00
0.81,0.44,0.00
-0.33,0.84,0.00
0.61,1.07,0.00
0.01,0.53,1.00
1.00,-0.48,1.00
0.74,-0.35,1.00
-0.85,0.24,0.00
1.73,-0.25,1.00
1.77,-0.23,1.00
-0.38,1.08,0.00
1.03,-0.32,1.00
0.67,-0.46,1.00
-0.85,-0.09,0.00
0.83,-0.13,0.00
-0.49,0.78,0.00
-0.45,0.53,0.00
-0.81,0.23,0.00
1.83,0.53,1.00
0.05,0.87,0.00
0.17,0.14,1.00
1.85,0.11,1.00
-0.17,0.97,0.00
0.50,-0.55,1.00
2.19,0.50,1.00
1.64,-0.23,1.00
-0.58,0.65,0.00
-0.51,1.06,0.00
-0.23,0.39,1.00
0.12,0.29,1.00
0.90,-0.44,1.00
1.94,0.31,1.00
1.28,-0.30,1.00
0.64,0.73,0.00
1.10,-0.62,1.00
0.92,0.17,0.00
-0.03,0.90,0.00
0.90,-0.02,0.00
2.01,0.19,1.00
1.63,-0.44,1.00
0.48,0.88,0.00
-0.46,1.09,0.00
-0.06,0.93,0.00
0.68,-0.49,1.00
-0.62,0.20,0.00
1.45,-0.08,1.00
0.31,0.74,0.00
1.84,-0.18,1.00
1.72,-0.56,1.00
0.28,-0.03,1.00
0.83,0.38,0.00
-0.61,0.62,0.00
-1.15,0.11,0.00
-0.66,0.69,0.00
0.78,-0.71,1.00
1.29,-0.66,1.00
-0.62,0.56,0.00
2.00,0.15,1.00
-0.02,0.97,0.00
2.07,-0.21,1.00
-0.35,1.02,0.00
0.74,-0.37,1.00
0.96,0.44,0.00
0.43,0.91,0.00
1.02,0.08,0.00
0.35,-0.20,1.00
0.25,-0.22,1.00
-0.06,0.96,0.00
2.00,0.19,1.00
-1.00,0.50,0.00
0.46,0.61,0.00
1.88,-0.21,1.00
0.52,0.65,0.00
0.33,0.84,0.00
