feature1,feature2,target
-1.07,-1.33,0.00
-1.14,1.66,0.00
-0.57,-0.96,0.00
-1.06,-1.56,0.00
-0.67,1.44,0.00
-1.23,-1.06,0.00
-0.61,-1.45,0.00
-1.23,-0.51,0.00
-0.63,1.61,0.00
-0.45,1.47,0.00
-1.45,-0.89,0.00
-1.46,-0.90,0.00
-1.35,1.53,0.00
-0.41,1.02,0.00
-0.96,-0.66,0.00
-1.18,-1.18,0.00
-1.15,-0.73,0.00
-0.71,0.06,0.00
-1.30,2.19,0.00
-0.96,-1.38,0.00
-1.71,-0.62,0.00
-0.83,-1.43,0.00
-0.82,1.93,0.00
-0.99,0.88,0.00
-0.02,-0.36,0.00
-1.18,0.63,0.00
-1.26,0.84,0.00
-0.25,0.09,0.00
-2.04,1.20,0.00
-1.79,1.39,0.00
-0.53,-1.09,0.00
-1.26,1.13,0.00
-1.52,1.74,0.00
-0.77,0.44,0.00
-0.98,-0.05,0.00
0.87,-1.50,1.00
0.92,-0.44,1.00
-0.79,-2.01,0.00
-2.15,-0.81,0.00
0.44,-1.16,0.00
-1.61,-1.03,0.00
-1.08,-0.51,0.00
-0.91,0.98,0.00
-1.41,-0.14,0.00
-1.55,0.64,0.00
-1.10,2.14,0.00
-1.63,-1.80,0.00
-0.69,1.32,0.00
-1.41,1.72,0.00
-1.24,0.54,0.00
-0.99,-0.56,0.00
-1.30,-0.63,0.00
-1.02,2.80,0.00
-1.56,-1.12,0.00
-1.04,-0.03,0.00
-1.41,-0.71,0.00
0.40,-0.58,0.00
-0.88,0.27,0.00
-1.39,1.31,0.00
-0.54,0.17,0.00
0.88,1.31,1.00
-0.99,1.37,0.00
-1.71,-0.15,0.00
-1.31,-1.37,0.00
-0.75,-1.87,0.00
-1.24,-1.21,0.00
-1.09,1.27,0.00
-1.28,1.94,0.00
-1.70,0.31,0.00
-2.24,-1.37,0.00
-0.21,-0.13,0.00
-1.21,-1.08,0.00
-1.19,-1.62,0.00
-0.27,1.33,0.00
-0.72,-1.38,0.00
-1.57,-1.76,0.00
-0.88,-1.05,0.00
-0.75,0.76,0.00
-1.56,-0.42,0.00
-0.87,-1.23,0.00
-1.07,-1.73,0.00
-1.11,-0.25,0.00
-0.85,0.73,0.00
-0.97,-1.26,1.00
-0.92,-1.15,0.00
-1.95,0.12,0.00
-1.34,0.46,0.00
