store_id,store_name,ds,y
5205,JL Bundall,2018-01-01,5
5208,JL Helensvale,2018-01-01,2
5210,SG & JL Toowoomba,2018-01-01,10
5203,JL Alexandria,2018-01-02,30
5201,JL Auburn,2018-01-02,28
5205,JL Bundall,2018-01-02,16
1244,JL Canberra,2018-01-02,28
5202,JL Castle Hill,2018-01-02,13
5207,JL Fortitude Valley,2018-01-02,31
5208,JL Helensvale,2018-01-02,20
5209,JL Logan,2018-01-02,21
1376,JL Nunawading,2018-01-02,16
5211,JL Robina,2018-01-02,5
1209,SG & JL Caringbah,2018-01-02,34
1375,SG & JL Hopper Crossing,2018-01-02,2
1211,SG & JL Hornsby,2018-01-02,21
1227,SG & JL Liverpool,2018-01-02,38
1371,SG & JL Maribyrnong,2018-01-02,12
1206,SG & JL NSW Warehouse,2018-01-02,3
1209,SG & JL NSW Warehouse,2018-01-02,6
1233,SG & JL NSW Warehouse,2018-01-02,5
1244,SG & JL NSW Warehouse,2018-01-02,1
5201,SG & JL NSW Warehouse,2018-01-02,3
5202,SG & JL NSW Warehouse,2018-01-02,4
5206,SG & JL NSW Warehouse,2018-01-02,2
5207,SG & JL NSW Warehouse,2018-01-02,7
1245,SG & JL Penrith,2018-01-02,18
1223,SG & JL Penrith Clearance,2018-01-02,27
1373,SG & JL Preston,2018-01-02,17
1210,SG & JL Prospect,2018-01-02,22
2200,SG & JL Staff Sales,2018-01-02,14
5210,SG & JL Toowoomba,2018-01-02,14
1205,SG Auburn,2018-01-02,67
1207,SG Bankstown,2018-01-02,15
1206,SG Castle Hill,2018-01-02,27
1374,SG Chirnside Park,2018-01-02,1
1372,SG Cranbourne,2018-01-02,7
5213,SG Jindalee,2018-01-02,13
1236,SG Marsden Park,2018-01-02,16
1208,SG Moore Park,2018-01-02,64
1233,SG Tuggerah,2018-01-02,22
2200,SG Website,2018-01-02,24
5203,JL Alexandria,2018-01-03,32
5201,JL Auburn,2018-01-03,45
5205,JL Bundall,2018-01-03,7
1244,JL Canberra,2018-01-03,19
5202,JL Castle Hill,2018-01-03,33
5207,JL Fortitude Valley,2018-01-03,20
5208,JL Helensvale,2018-01-03,49
1243,JL Kotara,2018-01-03,13
5209,JL Logan,2018-01-03,23
1376,JL Nunawading,2018-01-03,12
5211,JL Robina,2018-01-03,4
2200,JL Website,2018-01-03,6
1209,SG & JL Caringbah,2018-01-03,31
1375,SG & JL Hopper Crossing,2018-01-03,8
1211,SG & JL Hornsby,2018-01-03,28
1227,SG & JL Liverpool,2018-01-03,10
1371,SG & JL Maribyrnong,2018-01-03,16
1207,SG & JL NSW Warehouse,2018-01-03,3
1208,SG & JL NSW Warehouse,2018-01-03,3
1210,SG & JL NSW Warehouse,2018-01-03,1
1244,SG & JL NSW Warehouse,2018-01-03,1
1376,SG & JL NSW Warehouse,2018-01-03,3
5203,SG & JL NSW Warehouse,2018-01-03,12
5209,SG & JL NSW Warehouse,2018-01-03,5
5210,SG & JL NSW Warehouse,2018-01-03,1
1245,SG & JL Penrith,2018-01-03,18
1223,SG & JL Penrith Clearance,2018-01-03,4
1373,SG & JL Preston,2018-01-03,20
1210,SG & JL Prospect,2018-01-03,6
2200,SG & JL Staff Sales,2018-01-03,7
5210,SG & JL Toowoomba,2018-01-03,7
1205,SG Auburn,2018-01-03,49
1207,SG Bankstown,2018-01-03,18
1206,SG Castle Hill,2018-01-03,52
1374,SG Chirnside Park,2018-01-03,7
5213,SG Jindalee,2018-01-03,10
5212,SG Logan,2018-01-03,4
1236,SG Marsden Park,2018-01-03,18
1208,SG Moore Park,2018-01-03,19
1233,SG Tuggerah,2018-01-03,8
2200,SG Website,2018-01-03,12
5203,JL Alexandria,2018-01-04,71
5201,JL Auburn,2018-01-04,16
5205,JL Bundall,2018-01-04,22
1244,JL Canberra,2018-01-04,22
5202,JL Castle Hill,2018-01-04,10
5207,JL Fortitude Valley,2018-01-04,43
5208,JL Helensvale,2018-01-04,23
1209,JL Hire,2018-01-04,4
1243,JL Kotara,2018-01-04,17
5209,JL Logan,2018-01-04,18
5211,JL Robina,2018-01-04,6
2200,JL Website,2018-01-04,6
1209,SG & JL Caringbah,2018-01-04,46
1375,SG & JL Hopper Crossing,2018-01-04,46
1211,SG & JL Hornsby,2018-01-04,41
1227,SG & JL Liverpool,2018-01-04,16
1371,SG & JL Maribyrnong,2018-01-04,7
1205,SG & JL NSW Warehouse,2018-01-04,9
1209,SG & JL NSW Warehouse,2018-01-04,3
