ds,y
2018-01-01,17
2018-01-02,730
2018-01-03,646
2018-01-04,725
2018-01-05,542
2018-01-06,773
2018-01-07,734
2018-01-08,405
2018-01-09,329
2018-01-10,486
2018-01-11,571
2018-01-12,509
2018-01-13,820
2018-01-14,1052
2018-01-15,393
2018-01-16,454
2018-01-17,256
2018-01-18,600
2018-01-19,362
2018-01-20,902
2018-01-21,954
2018-01-22,393
2018-01-23,379
2018-01-24,314
2018-01-25,462
2018-01-26,480
2018-01-27,731
2018-01-28,415
2018-01-29,926
2018-01-30,438
2018-01-31,445
2018-02-01,424
2018-02-02,429
2018-02-03,748
2018-02-04,958
2018-02-05,345
2018-02-06,328
2018-02-07,439
2018-02-08,370
2018-02-09,316
2018-02-10,650
2018-02-11,801
2018-02-12,308
2018-02-13,274
2018-02-14,280
2018-02-15,364
2018-02-16,296
2018-02-17,769
2018-02-18,979
2018-02-19,309
2018-02-20,290
2018-02-21,390
2018-02-22,401
2018-02-23,256
2018-02-24,877
2018-02-25,1112
2018-02-26,364
2018-02-27,393
2018-02-28,301
2018-03-01,322
2018-03-02,256
2018-03-03,698
2018-03-04,735
2018-03-05,409
2018-03-06,381
2018-03-07,267
2018-03-08,372
2018-03-09,300
2018-03-10,631
2018-03-11,853
2018-03-12,361
2018-03-13,388
2018-03-14,277
2018-03-15,888
2018-03-16,357
2018-03-17,555
2018-03-18,745
2018-03-19,279
2018-03-20,305
2018-03-21,325
2018-03-22,355
2018-03-23,327
2018-03-24,714
2018-03-25,814
2018-03-26,365
2018-03-27,288
2018-03-28,308
2018-03-29,321
2018-03-31,921
2018-04-01,64
2018-04-02,1036
2018-04-03,372
2018-04-04,331
2018-04-05,379
2018-04-06,334
2018-04-07,650
2018-04-08,800
2018-04-09,258
2018-04-10,329
2018-04-11,335
2018-04-12,655
2018-04-13,283
2018-04-14,880
2018-04-15,1015
2018-04-16,310
2018-04-17,382
2018-04-18,284
2018-04-19,273
2018-04-20,399
2018-04-21,754
2018-04-22,961
2018-04-23,315
2018-04-24,261
2018-04-25,355
2018-04-26,456
2018-04-27,357
2018-04-28,831
2018-04-29,1000
2018-04-30,423
2018-05-01,333
2018-05-02,267
2018-05-03,537
2018-05-04,360
2018-05-05,809
2018-05-06,918
2018-05-07,234
2018-05-08,282
2018-05-09,340
2018-05-10,350
2018-05-11,218
2018-05-12,622
2018-05-13,599
2018-05-14,318
2018-05-15,451
2018-05-16,285
2018-05-17,376
2018-05-18,305
2018-05-19,882
2018-05-20,901
2018-05-21,300
2018-05-22,272
2018-05-23,370
2018-05-24,432
2018-05-25,317
2018-05-26,965
2018-05-27,1067
2018-05-28,432
2018-05-29,374
2018-05-30,428
2018-05-31,449
2018-06-01,392
2018-06-02,842
2018-06-03,1053
2018-06-04,408
2018-06-05,291
2018-06-06,426
2018-06-07,362
2018-06-08,355
2018-06-09,941
2018-06-10,1014
2018-06-11,940
2018-06-12,385
2018-06-13,318
2018-06-14,513
2018-06-15,384
2018-06-16,961
2018-06-17,1151
2018-06-18,349
2018-06-19,305
2018-06-20,463
2018-06-21,499
2018-06-22,413
2018-06-23,1309
2018-06-24,1382
2018-06-25,489
2018-06-26,399
2018-06-27,430
2018-06-28,639
2018-06-29,642
2018-06-30,1347
2018-07-01,1261
2018-07-02,490
2018-07-03,273
2018-07-04,331
2018-07-05,433
2018-07-06,313
2018-07-07,912
2018-07-08,948
2018-07-09,348
2018-07-10,508
2018-07-11,292
2018-07-12,485
2018-07-13,371
2018-07-14,988
2018-07-15,1107
2018-07-16,499
2018-07-17,386
2018-07-18,404
2018-07-19,445
2018-07-20,422
2018-07-21,801
2018-07-22,917
2018-07-23,431
2018-07-24,372
2018-07-25,275
2018-07-26,388
2018-07-27,448
2018-07-28,1139
2018-07-29,1172
2018-07-30,568
2018-07-31,395
2018-08-01,340
2018-08-02,485
2018-08-03,506
2018-08-04,931
2018-08-05,1281
2018-08-06,443
2018-08-07,343
