duracion	siguienteG
4,4	78
3,9	74
4	68
4	76
4,9	76
1,7	58
4,6	74
3,4	75
4,3	80
1,8	42
4,1	91
1,8	51
3,2	79
3,8	75
3,8	75
2,5	66
4,5	84
4,1	70
3,7	79
3,8	60
3,4	86
4	71
1,9	57
3,6	71
3,7	72
3,7	77
1,8	55
4,6	75
3,5	73
4	70
3,7	83
1,7	50
4,6	95
1,7	51
4	82
1,8	54
4,4	83
1,9	51
4,6	80
2,9	78
3,5	81
2	53
4,5	86
2	48
4,2	77
4,4	73
4,1	70
4,1	88
4	75
4,1	83
2,7	61
4,6	78
1,9	61
4,5	81
2	51
4,8	80
4,1	79
4,1	82
4,2	80
4,5	76
1,9	56
4,7	82
4,8	91
4,1	66
4	71
4	75
4,4	81
4,1	77
4,3	74
4	70
3,9	83
3,2	53
4,5	82
2,2	62
4,7	73
4,6	84
2,2	58
4,8	82
4,8	94
2	45
4,4	81
2,5	59
4,3	82
4,4	80
1,9	54
4,7	75
4,3	73
2,2	57
4,7	80
2,3	51
4,6	77
4,7	90
4,5	82
4,5	71
4,8	80
2	51
4,8	80
1,9	62
4,7	84
2	51
5,1	81
4,3	83
4,8	84
3	72
4,5	79
2,1	61
4,2	81
2,1	48
5,2	84
2	63
1,9	54
.	.
